ID,Age,Salary,JoinDate,Department,Score
1,56,45795,2016-06-24,Engineering,78
2,32,149879,2022-08-18,Finance,70
3,56,36265,2022-05-19,HR,68
4,40,67194,2016-07-16,HR,60
5,41,74131,2017-11-20,Finance,89
6,41,71090,2018-01-21,Support,71
7,19,89735,2017-08-02,Support,93
8,47,97969,2020-02-12,Marketing,70
9,50,83707,2015-09-18,Marketing,71
10,61,123016,2023-09-12,Finance,98
11,44,55658,2018-05-07,Engineering,91
12,45,32747,2020-05-27,Sales,65
13,32,95725,2015-12-05,Engineering,96
14,61,86886,2020-09-05,Support,52
15,54,33890,2021-08-30,Finance,56
16,38,110038,2021-06-15,Finance,67
17,21,38792,2016-12-24,Engineering,63
18,26,53897,2023-06-04,Finance,51
19,37,53483,2021-12-18,HR,56
20,61,47159,2015-03-16,Support,96
21,52,110077,2022-06-15,Finance,66
22,53,97121,2023-02-10,Marketing,89
23,21,49457,2016-06-04,Marketing,55
24,59,82995,2018-06-14,Marketing,78
25,35,102409,2016-04-09,Engineering,93
26,51,67065,2017-02-03,HR,85
27,31,62606,2018-01-20,Marketing,97
28,32,124663,2020-07-01,Engineering,63
29,40,121387,2019-10-27,Finance,89
30,38,53247,2022-12-03,Sales,94
31,35,112798,2017-03-26,Sales,73
32,43,93704,2015-05-21,Sales,94
33,58,68044,2021-07-10,Marketing,64
34,62,144752,2020-02-24,Marketing,74
35,24,32568,2019-01-17,Sales,73
36,18,97563,2020-01-26,Marketing,57
37,41,78190,2018-07-09,Finance,60
38,34,63159,2019-01-17,Sales,84
39,52,42666,2016-12-22,Support,54
40,59,56854,2022-01-07,HR,90
41,45,52662,2023-08-25,Sales,58
42,25,108603,2023-09-16,Support,83
43,50,119135,2016-02-21,Sales,72
44,41,126354,2018-12-07,Sales,93
45,57,40965,2017-03-06,HR,76
46,52,100592,2022-05-19,Marketing,84
47,54,38110,2021-09-23,Engineering,63
48,20,82992,2022-04-23,Support,54
49,43,128806,2018-04-04,Engineering,63
50,56,149176,2024-04-21,Sales,64
51,32,117897,2020-07-17,Marketing,91
52,30,144238,2016-08-06,Engineering,81
53,56,137059,2015-01-22,Support,81
54,21,48141,2023-12-26,Marketing,86
55,40,101910,2019-10-17,Finance,94
56,32,147930,2020-08-05,Marketing,78
57,53,85820,2019-08-27,Sales,81
58,24,105450,2021-04-03,Finance,71
59,45,73585,2015-01-17,Engineering,91
60,62,72557,2019-05-21,HR,55
61,45,125259,2024-09-12,Engineering,93
62,61,55939,2020-06-14,Marketing,79
63,28,48047,2024-11-07,Support,77
64,42,74262,2016-09-24,Sales,82
65,18,96842,2023-04-29,Marketing,62
66,58,39474,2016-08-08,Finance,88
67,23,51959,2018-05-12,Engineering,76
68,26,149101,2020-12-08,Sales,86
69,50,128098,2022-07-19,Support,91
70,61,96199,2024-09-05,Marketing,64
71,49,125839,2018-07-19,Finance,73
72,58,148451,2017-07-30,Finance,98
73,29,82733,2015-10-12,Engineering,88
74,19,119474,2023-09-25,HR,98
75,54,115616,2019-07-08,Engineering,66
76,19,133041,2016-06-08,Marketing,77
77,40,120084,2019-06-18,Engineering,81
78,50,85680,2016-09-02,Sales,68
79,19,117092,2019-03-13,Sales,93
80,43,134095,2022-10-16,Sales,55
81,49,93734,2024-11-21,Support,53
82,28,139751,2019-06-07,Support,66
83,55,97863,2017-08-15,Finance,54
84,51,95733,2024-04-05,Marketing,71
85,28,140078,2024-08-07,Marketing,97
86,33,55184,2021-01-02,Support,58
87,23,81663,2016-04-30,HR,78
88,20,79811,2020-06-06,Marketing,85
89,36,64754,2018-06-16,Finance,68
90,37,32911,2018-02-06,HR,56
91,58,114896,2024-01-27,Sales,89
92,56,130689,2019-07-25,Engineering,89
93,18,31802,2017-07-15,HR,77
94,42,142561,2019-09-24,Sales,72
95,48,115981,2023-07-24,HR,91
96,52,46646,2021-05-12,Sales,65
97,43,120735,2022-06-16,Engineering,98
98,19,61616,2022-06-03,Marketing,97
99,29,50932,2019-10-02,Marketing,86
100,49,91434,2018-11-16,Marketing,58
101,58,147858,2015-01-18,Sales,68
102,33,96690,2024-05-03,Support,69
103,41,89040,2019-06-07,Sales,73
104,28,146336,2015-05-05,Engineering,57
105,53,137941,2016-07-22,Support,89
106,37,78354,2016-10-29,Sales,97
107,42,112018,2016-12-21,Marketing,74
108,46,98497,2017-11-23,HR,95
109,35,107505,2020-08-21,Marketing,84
110,33,80108,2022-08-29,Sales,90
111,53,120272,2020-03-31,Finance,53
112,50,149181,2024-03-08,Support,70
113,37,88871,2022-09-13,HR,57
114,24,129522,2020-01-19,Sales,66
115,50,100091,2022-02-22,Engineering,71
116,39,36893,2015-11-20,Finance,79
117,55,77333,2016-06-14,Engineering,94
118,25,49738,2023-11-08,Sales,76
119,51,78404,2022-11-17,Sales,79
120,50,69790,2019-02-17,Sales,82
121,22,123179,2021-09-18,Marketing,97
122,36,86835,2015-12-05,Marketing,84
123,34,86491,2018-02-03,Support,77
124,47,73484,2015-10-30,Support,95
125,23,77202,2020-03-16,Sales,90
126,54,48711,2023-12-28,Marketing,78
127,63,75236,2022-06-20,HR,80
128,52,96235,2016-07-31,Sales,82
129,38,131279,2017-12-22,Finance,72
130,50,148015,2021-07-15,Support,52
131,35,64584,2016-12-20,HR,91
132,48,53093,2021-02-07,HR,52
133,57,81885,2018-12-24,Support,73
134,49,34014,2024-07-08,Engineering,71
135,40,65777,2021-08-30,Support,76
136,59,129713,2020-07-29,HR,75
137,34,57751,2021-09-02,Engineering,82
138,26,108069,2021-08-31,Sales,97
139,56,84748,2023-03-13,Engineering,91
140,43,134290,2015-04-18,Support,99
141,42,40647,2017-05-22,Engineering,62
142,24,119912,2019-05-15,Support,85
143,62,32368,2024-05-28,Support,57
144,63,100031,2023-04-20,Sales,63
145,29,117922,2020-07-18,Finance,72
146,32,43403,2023-01-15,Finance,83
147,19,40966,2016-06-01,Sales,71
148,42,82921,2020-07-02,Marketing,71
149,39,61024,2015-12-25,Support,91
150,23,83006,2021-03-28,HR,92
151,54,143632,2023-08-27,Sales,57
152,61,78747,2016-12-01,Marketing,54
153,56,117235,2019-02-02,HR,55
154,62,88335,2017-11-05,Finance,79
155,64,110738,2020-11-17,Marketing,89
156,33,124476,2016-09-07,Marketing,99
157,59,113613,2019-10-02,Sales,68
158,34,103847,2018-01-15,Finance,68
159,45,133481,2021-04-15,Marketing,75
160,54,62217,2021-03-01,Marketing,72
161,26,130235,2024-11-16,Finance,50
162,18,76175,2015-02-02,Sales,97
163,42,75543,2019-10-19,Support,94
164,18,33343,2023-02-04,Sales,88
165,22,143429,2015-02-23,HR,78
166,20,115067,2017-06-24,Sales,75
167,33,99042,2021-10-24,Support,86
168,39,114664,2018-11-22,Finance,78
169,31,39435,2021-05-31,Support,54
170,64,108832,2017-04-12,Finance,79
171,63,108781,2020-04-12,Support,54
172,29,73919,2024-11-10,Sales,75
173,43,65247,2019-05-10,Support,70
174,56,121747,2019-09-11,Support,82
175,47,132756,2024-08-17,Marketing,72
176,27,109605,2021-02-22,Support,54
177,53,98385,2016-09-20,Sales,80
178,27,53289,2022-11-23,HR,68
179,49,90160,2015-12-02,Sales,54
180,62,34611,2023-11-16,Engineering,65
181,41,87679,2018-06-09,Marketing,51
182,45,121007,2023-01-23,Engineering,81
183,44,96387,2016-03-29,HR,73
184,29,102369,2019-07-12,HR,84
185,50,34000,2023-11-02,Engineering,92
186,54,133691,2018-01-03,Engineering,52
187,18,68304,2017-09-24,Marketing,89
188,27,112986,2015-12-02,Finance,93
189,46,138940,2024-11-14,Support,61
190,48,33373,2018-06-07,Sales,51
191,52,57350,2019-11-01,Finance,66
192,43,55351,2017-09-23,Sales,78
193,43,45305,2022-05-13,Finance,75
194,51,87458,2020-06-27,Engineering,90
195,24,33267,2023-08-28,Support,99
196,62,41338,2016-07-05,Sales,78
197,53,63496,2023-12-14,Marketing,70
198,53,74425,2015-04-15,Support,86
199,26,65735,2021-03-28,Support,84
200,52,115999,2019-11-22,Engineering,85
201,35,100640,2024-02-24,Support,88
202,49,89031,2019-06-23,HR,72
203,49,91476,2016-07-29,Marketing,61
204,30,73286,2024-02-13,Engineering,74
205,52,51352,2019-11-18,Marketing,79
206,34,140448,2019-11-10,HR,69
207,42,80517,2021-03-04,Finance,62
208,36,77280,2023-08-03,HR,85
209,29,93932,2024-09-07,Sales,90
210,36,66939,2017-12-22,Marketing,58
211,24,89163,2015-07-28,Engineering,63
212,48,94895,2016-11-22,Support,68
213,64,38335,2020-12-29,Support,54
