ID,Age,Salary,JoinDate,Department,Score
1,,$60000,,Sales,-10
2,62,50000 ,2015-01-27,,59
3,39,54671,,Marketing,246
4,63,121327,2024-08-04,HR, 85 
5,60,104939,2016-12-01,Marketing,NaN
6,61,27331,2024-01-11,human resources,-10
7,43,38726, 2023-07-10 ,Marketing,77
8,,86784, 2023-07-10 , SALES ,74
9, 30 ,$60000,2021-01-08,,NaN
10,34,86542,2018-05-07,,59
11,51,84042,32/13/2020,VeryLongDepartmentName123,-10
12,22,36483,2021-03-01, SALES ,77
13,30,108039,2020-10-20,Engg,213
284,32,112778,2015-10-18,Marketing,63
15,33,44957,,human resources,96
16,twenty five,34322,2024/05/01,Engg,NaN
17,53,90855,2024-05-17,VeryLongDepartmentName123,NaN
18,43,2637547,2023-03-12,,274
19,21,50000 ,2024-07-24,Marketing,55
20,,94668,2015-06-12,MKT,86
21,38,108039,32/13/2020,VeryLongDepartmentName123,-10
22,50,135456,2019-02-22,Hr,95
23, 30 ,143067,2024-11-05,VeryLongDepartmentName123,291
24,143,86244,2024-04-20,Hr,58
25,53,34663,2022-10-01,VeryLongDepartmentName123,289
26,155,147427,32/13/2020,HR,72
27,33,126269,2015-04-12, SALES ,76
28,65,4658132,,human resources, 85 
29,35,109065,2015-04-24,sales,66
306,38,35157,2017-02-17,Hr,-10
31,41,140687,2022-06-10,,92
32,,69695,2016-12-13,MKT,50
33,56,77954,,,68
34,33,,not_a_date,Engg,90
35,43,20726,2024-12-05,sales, 85 
36,21,107500,2021-09-04,human resources,96
37,28,53972, 2023-07-10 ,Hr,65
38,191,30561,,Support!!,NaN
39,twenty five,144002,2024/05/01,Engineering,69
40,52,83993,,Sales,75
41,52,93975, 2023-07-10 ,Engineering,268
42,42,75255,2020-04-10,Sales,288
43,20,46130,not_a_date,HR,86
44,189,118032,not_a_date,Hr,298
45,30,102213,32/13/2020,,86
46,41,21658,2020-06-30,sales,79
47,59,90539,2019-11-20,,65
48,33,107580,2020-07-17,,72
49,62,87715, 2023-07-10 ,Engineering,94
50,19,$60000,2021-07-10,human resources,77
51,47,55509,2023-02-02,Support!!, 85 
52,51,129134,32/13/2020, SALES ,58
53,,33446,32/13/2020,Engg,53
54,43,109974,2024/05/01,Hr,NaN
55,42,132743,2018-06-04,MKT,97
56,31,40585,,Support!!,
57,22,123262,2022-06-01,,
58,,128034,2019-12-04,sales,67
59,49,99129,not_a_date,Support,98
60,,140071,2024/05/01,Engineering,80
61,28,57777,2024-02-15,,70
62,50,91118,2017-02-07,Marketing,98
63,170,35915,2021-10-29,,50
64,25,,2018-04-10,Marketing,80
65,42,117818,2024-11-10,Hr,100
66,55,39476,2018-11-14,human resources,70
67,32,61704,2024-02-06,Engineering,52
68,46,22011, 2023-07-10 , SALES ,66
69,39,69808,2024-12-13,,81
70,65,119663,2016-02-16,Engg,52
71,45,94177,2016-11-27, SALES ,65
72,118,137821,2018-03-24,Support,190
73,62,46111,2016-03-12,HR,68
74,60,$60000,2015-07-20,VeryLongDepartmentName123,68
75,32,108835,2022-05-24,Support,91
404,64,62823,2017-04-02, SALES ,73
77,twenty five,abc,2024-01-08, SALES ,96
78,43,79609,2022-07-16,Hr,73
79, 30 ,104889,2020-03-16,VeryLongDepartmentName123,57
80,25,37781,2022-07-09,Support!!,97
81,twenty five,56666,2017-06-08,Engg,56
82,59,44878,2024-03-29,Engg,88
83,26,50000 ,2024-02-13,,100
84,27,124662,2016-12-15, SALES ,65
85,,117735,2023-09-22,human resources,64
86,60,146356,,,81
87,38,abc,2021-02-24,Support!!,83
88,62,135042,2024-09-15,HR,76
89,24,53408,2022-09-14,VeryLongDepartmentName123,80
90,26,93608,2016-05-15,Engineering,96
91,24,$60000,2020-05-29,human resources,244
92,57,23441,2024-04-20,Support!!, 85 
93,,38595,2015-05-06,sales,NaN
