"ID","Age","Salary","JoinDate","Department","Score","Salary_missing_flag"
1,42,"$60000",NA,"Sales",29.5,0
2,62,"50000 ",2015-01-27,"Engg",59,0
3,39,"54671",NA,"Marketing",100,0
4,63,"121327",2024-08-04,"HR",85,0
5,60,"104939",2016-12-01,"Marketing",77,0
6,61,"27331",2024-01-11,"human resources",29.5,0
7,43,"38726",2023-07-10,"Marketing",77,0
8,42,"86784",2023-07-10," SALES ",74,0
9,30,"$60000",2021-01-08,"Engg",77,0
10,34,"86542",2018-05-07,"Engg",59,0
11,51,"84042",NA,"VeryLongDepartmentName123",29.5,0
12,22,"36483",2021-03-01," SALES ",77,0
13,30,"108039",2020-10-20,"Engg",100,0
284,32,"112778",2015-10-18,"Marketing",63,0
15,33,"44957",NA,"human resources",96,0
16,42,"34322",NA,"Engg",77,0
17,53,"90855",2024-05-17,"VeryLongDepartmentName123",77,0
18,43,"2637547",2023-03-12,"Engg",100,0
19,21,"50000 ",2024-07-24,"Marketing",55,0
20,42,"94668",2015-06-12,"MKT",86,0
21,38,"108039",NA,"VeryLongDepartmentName123",29.5,0
22,50,"135456",2019-02-22,"Hr",95,0
23,30,"143067",2024-11-05,"VeryLongDepartmentName123",100,0
24,87.5,"86244",2024-04-20,"Hr",58,0
25,53,"34663",2022-10-01,"VeryLongDepartmentName123",100,0
26,87.5,"147427",NA,"HR",72,0
27,33,"126269",2015-04-12," SALES ",76,0
28,65,"4658132",NA,"human resources",85,0
29,35,"109065",2015-04-24,"sales",66,0
306,38,"35157",2017-02-17,"Hr",29.5,0
31,41,"140687",2022-06-10,"Engg",92,0
32,42,"69695",2016-12-13,"MKT",50,0
33,56,"77954",NA,"Engg",68,0
34,33,NA,NA,"Engg",90,1
35,43,"20726",2024-12-05,"sales",85,0
36,21,"107500",2021-09-04,"human resources",96,0
37,28,"53972",2023-07-10,"Hr",65,0
38,87.5,"30561",NA,"Support!!",77,0
39,42,"144002",NA,"Engineering",69,0
40,52,"83993",NA,"Sales",75,0
41,52,"93975",2023-07-10,"Engineering",100,0
42,42,"75255",2020-04-10,"Sales",100,0
43,20,"46130",NA,"HR",86,0
44,87.5,"118032",NA,"Hr",100,0
45,30,"102213",NA,"Engg",86,0
46,41,"21658",2020-06-30,"sales",79,0
47,59,"90539",2019-11-20,"Engg",65,0
48,33,"107580",2020-07-17,"Engg",72,0
49,62,"87715",2023-07-10,"Engineering",94,0
50,19,"$60000",2021-07-10,"human resources",77,0
51,47,"55509",2023-02-02,"Support!!",85,0
52,51,"129134",NA," SALES ",58,0
53,42,"33446",NA,"Engg",53,0
54,43,"109974",NA,"Hr",77,0
55,42,"132743",2018-06-04,"MKT",97,0
56,31,"40585",NA,"Support!!",77,0
57,22,"123262",2022-06-01,"Engg",77,0
58,42,"128034",2019-12-04,"sales",67,0
59,49,"99129",NA,"Support",98,0
60,42,"140071",NA,"Engineering",80,0
61,28,"57777",2024-02-15,"Engg",70,0
62,50,"91118",2017-02-07,"Marketing",98,0
63,87.5,"35915",2021-10-29,"Engg",50,0
64,25,NA,2018-04-10,"Marketing",80,1
65,42,"117818",2024-11-10,"Hr",100,0
66,55,"39476",2018-11-14,"human resources",70,0
67,32,"61704",2024-02-06,"Engineering",52,0
68,46,"22011",2023-07-10," SALES ",66,0
69,39,"69808",2024-12-13,"Engg",81,0
70,65,"119663",2016-02-16,"Engg",52,0
71,45,"94177",2016-11-27," SALES ",65,0
72,87.5,"137821",2018-03-24,"Support",100,0
73,62,"46111",2016-03-12,"HR",68,0
74,60,"$60000",2015-07-20,"VeryLongDepartmentName123",68,0
75,32,"108835",2022-05-24,"Support",91,0
404,64,"62823",2017-04-02," SALES ",73,0
77,42,"abc",2024-01-08," SALES ",96,0
78,43,"79609",2022-07-16,"Hr",73,0
79,30,"104889",2020-03-16,"VeryLongDepartmentName123",57,0
80,25,"37781",2022-07-09,"Support!!",97,0
81,42,"56666",2017-06-08,"Engg",56,0
82,59,"44878",2024-03-29,"Engg",88,0
83,26,"50000 ",2024-02-13,"Engg",100,0
84,27,"124662",2016-12-15," SALES ",65,0
85,42,"117735",2023-09-22,"human resources",64,0
86,60,"146356",NA,"Engg",81,0
87,38,"abc",2021-02-24,"Support!!",83,0
88,62,"135042",2024-09-15,"HR",76,0
89,24,"53408",2022-09-14,"VeryLongDepartmentName123",80,0
90,26,"93608",2016-05-15,"Engineering",96,0
91,24,"$60000",2020-05-29,"human resources",100,0
92,57,"23441",2024-04-20,"Support!!",85,0
93,42,"38595",2015-05-06,"sales",77,0
94,38,"31135",NA,"Engg",67,0
95,44,"34918",2018-03-06,"Support",69,0
203,87.5,"120160",2017-11-12,"Sales",77,0
97,60,"$60000",2020-02-27,"VeryLongDepartmentName123",86,0
98,42,"50000 ",2019-01-22,"sales",29.5,0
99,65,"42037",2016-04-12,"Marketing",72,0
100,42,NA,2015-11-05," SALES ",86,1
101,54,"62363",2018-07-18," SALES ",90,0
102,30,"24929",2018-03-21,"sales",82,0
103,65,"126144",2018-08-09,"MKT",80,0
104,42,"149890",2021-11-02," SALES ",74,0
105,58,"104843",2018-03-09,"Hr",87,0
106,62,"$60000",2019-03-23,"Support",92,0
107,23,"67425",2017-01-08,"HR",77,0
108,30,"24947",2023-08-05,"MKT",77,0
109,20,"51133",2023-06-09,"Support!!",77,0
110,54,"56932",2020-11-30,"Engineering",58,0
111,41,"50000 ",2024-07-18,"Engg",82,0
112,32,"141958",2019-06-12,"Marketing",55,0
113,63,"38035",NA,"Support!!",50,0
114,42,"89176",NA,"HR",77,0
115,42,"50000 ",NA,"Hr",65,0
116,51,"50000 ",2020-09-10,"Marketing",52,0
117,40,"116068",2023-08-27,"MKT",100,0
118,61,"43891",2023-07-10,"Engg",79,0
119,50,"53202",2017-02-21,"Hr",71,0
120,65,"64438",2020-07-30,"human resources",96,0
121,29,"30494",2018-06-09,"Engg",77,0
122,40,"100589",2019-07-22,"human resources",59,0
123,26,"68015",2021-05-12,"Sales",73,0
124,87.5,"52717",NA,"Engg",57,0
125,57,"84382",2017-03-30,"Engg",93,0
126,22,"abc",2023-07-10,"VeryLongDepartmentName123",82,0
127,42,"68353",2021-03-09," SALES ",77,0
128,44,"abc",NA,"Support",29.5,0
129,45,"128972",2018-05-30," SALES ",64,0
130,34,"55972",2021-11-21,"Marketing",87,0
131,64,"141101",2021-04-27,"sales",77,0
132,49,"104136",2024-01-10,"Engg",93,0
133,47,"60970",2023-03-27,"Engg",100,0
134,24,"55058",NA,"Engg",77,0
135,28,"135222",2016-01-04,"Engineering",63,0
136,30,"81680",2024-07-02,"sales",96,0
137,43,"50000 ",NA,"Engg",29.5,0
138,43,"93116",2017-03-26,"MKT",52,0
366,27,"62987",2019-05-29,"MKT",82,0
140,37,"abc",NA,"MKT",66,0
141,55,"$60000",2024-06-07,"Engineering",85,0
